BindingEnergy_eV,Intensity
609.20,2750.0
609.60,2950.0
610.00,2900.0
610.40,3000.0
610.80,3100.0
611.20,2850.0
611.60,3262.5
612.00,3025.0
612.40,2825.0
612.80,2987.5
613.20,3012.5
613.60,2675.0
614.00,3150.0
614.40,2737.5
614.80,3187.5
615.20,2775.0
615.60,2962.5
616.00,2950.0
616.40,2775.0
616.80,2575.0
617.20,3012.5
617.60,2712.5
618.00,2750.0
618.40,2862.5
618.80,3025.0
619.20,2787.5
619.60,2887.5
620.00,2900.0
620.40,2887.5
620.80,3012.5
621.20,2787.5
621.60,2950.0
622.00,2662.5
622.40,3062.5
622.80,2875.0
623.20,2775.0
623.60,3100.0
624.00,2912.5
624.40,2675.0
624.80,2850.0
